feature,stat,p,effect_size,mean_abs_cohens_d,cohens_d_N1,cohens_d_N2,cohens_d_N3,cohens_d_REM,rank
spectral_bandwidth,223.53390847171696,2.5057077483852587e-136,0.47709227535067616,2.0860214856133537,-1.6462534393660115,-2.214047785273886,-2.207154165700709,-2.2766305521128074,1
spectral_rolloff,220.680697909979,4.9645925939983595e-135,0.47388843664857966,1.967363940079582,-1.5624798467735772,-2.1160523735318293,-2.0623373702081964,-2.1285861698047253,2
spectral_flatness,217.63306998605918,1.2301992706590676e-133,0.47042263967990244,2.0397762188335977,-1.5555955518998423,-2.2229125573178936,-2.117394665539944,-2.2632021005767107,3
bp_rel__beta__Pz-Oz,212.8443959346736,1.9909105599497386e-131,0.4648836980960723,2.0433269873801985,-1.6323547580766966,-2.251477463190837,-1.9802604783113333,-2.3092152499419263,4
spectral_centroid,209.3547731679276,8.38277884707177e-130,0.4607737951298048,1.953541230694348,-1.4906610041337962,-2.1190521940953015,-2.0419856583611984,-2.162466066187096,5
spectral_edge_frequency,202.12519978796843,2.1303100839465328e-126,0.4520550393576975,2.020982586524071,-1.5482686664927183,-2.1498389583817117,-2.1608729963547324,-2.224949724867123,6
bp_rel__delta__Pz-Oz,153.55791216164718,5.3561077714316255e-102,0.3852838131572882,1.9342394334074569,1.3870211272147481,2.2399224371878903,1.990642393338261,2.1193717758889283,7
signal_entropy,126.82886499748832,2.811406639764406e-87,0.341094726463335,1.6504048527043225,1.3232889277621576,1.7284168551629555,1.8386637597989954,1.711249868093181,8
spectral_entropy,112.71773963543754,4.4463001991137855e-79,0.31510245969437284,1.5735018086293724,-1.1597426664717418,-1.6719963253481,-1.7520172086400174,-1.71025103405763,9
spectral_skewness,101.44807720982789,2.6822747488096014e-72,0.2928233229835054,1.5488188108699714,1.180456844675672,1.627730166363185,1.6801348095562114,1.7069534228848173,10
spectral_complexity,99.7764034810326,2.83613873166183e-71,0.28939452489683337,1.6379782603509572,1.2688144321039372,1.7172721779094489,1.7396586815753885,1.826167749815054,11
shape_factor,92.80849809546004,5.958391912611664e-67,0.274737014073678,1.3356516144814399,-1.1570493937367232,-1.4235465347543637,-1.3565569600110878,-1.4054535694235848,12
bp_rel__theta__Pz-Oz,85.8329589815769,1.5514172338161674e-62,0.25944500585976005,1.4329164460248824,1.1632789289711472,1.6094431668167393,1.1987918756385374,1.7601518126731057,13
impulse_factor,83.5029533375964,4.8525101478535235e-61,0.2541923976305383,1.3568065475206659,-1.1310164189009384,-1.4027968271942013,-1.5566365657731578,-1.3367763782143662,14
peak_to_peak_amplitude,78.61011194424844,7.241793722943894e-58,0.24291611739805968,1.2735838642129043,-1.1714945192954023,-1.459312971036515,-0.9018989068505178,-1.5616290596691818,15
margin_factor,72.61520012601424,6.500350994182463e-54,0.22862633808836602,1.2841636873356548,-1.0915546628477393,-1.3048326206843968,-1.4905102567657884,-1.2497572090446945,16
crest_factor,72.61520012601424,6.500350994182463e-54,0.22862633808836602,1.2841636873356548,-1.0915546628477393,-1.3048326206843968,-1.4905102567657884,-1.2497572090446945,17
spectral_kurtosis,66.62219194882961,6.883173876183665e-50,0.21379155166128053,1.341412460352255,1.0093600596504084,1.394091416738974,1.4753850998203983,1.4868132651992387,18
signal_variance,58.29702536443041,3.5854903978002393e-44,0.1922110027105702,1.0072022019018816,-0.9634795940586143,-1.2072060460611695,-0.634644969065106,-1.2234781984226364,19
bp_rel__theta__Fpz-Cz,58.066148486152414,5.190676003795417e-44,0.19159562615686054,1.1666477707697793,0.8574710590587611,1.3626483287715074,0.9040629040752184,1.5424087911736302,20
signal_complexity,45.63596968964735,3.483019759262578e-35,0.15702106569389637,1.072771849563068,-0.9588962202084692,-1.0655401816842167,-1.3126711021629534,-0.953979894196633,21
zero_crossings,42.241997839469775,1.0317379467562034e-32,0.14706066020010572,1.0627642079134354,-0.8392637267179945,-1.1062139279463392,-1.3003561717419285,-1.0052230052474789,22
bp_rel__alpha__Fpz-Cz,32.000015173274235,4.332658857860078e-25,0.11552351415308407,0.9320733529404749,0.7420570839550084,1.0656671662569277,0.8025103689008147,1.118058792649149,23
signal_regularity,14.243721310718136,2.632029293777711e-11,0.05494336078306101,0.6358450508900836,0.4655540437956086,0.6517119156720972,0.8999980525743598,0.5261161915182684,24
bp_rel__beta__Fpz-Cz,13.834128992942658,5.561948471732467e-11,0.053447854990250655,0.4714291847567668,-0.2525666937015449,-0.5073025532027087,-0.6420761024382488,-0.48377138968456485,25
theta_alpha_ratio,9.15196238085973,2.9250961916638666e-07,0.03600980411532322,0.4769379477000729,0.3338278734992346,0.5000648261344839,0.5255889586761849,0.5482701324903883,26
bp_rel__delta__Fpz-Cz,5.6737207176597755,0.0001623729977811953,0.02263388719573938,0.1589440820579811,0.040591348177023465,0.1322813393356958,0.3936122791375804,0.0692913615816248,27
signal_stability,4.724701622988348,0.0008847931405723072,0.018919640677441913,0.34151728844605467,0.29695462228713115,0.3433903869845761,0.35303930828604857,0.37268483622646287,28
alpha_peak_frequency,4.223791484001993,0.002143956850268402,0.01694778599928777,0.35803426057097537,-0.385165474575047,-0.3828827509749106,-0.2681667891462387,-0.39592202758770506,29
bp_rel__alpha__Pz-Oz,2.6471766052337675,0.03221464296000592,0.010689306623727607,0.2027579612718987,-0.09846394123054762,-0.30918483878433434,-0.26686175829403497,-0.13652130677867785,30
